GAME_DATE,HOME_TEAM,AWAY_TEAM,HOME_ML,AWAY_ML,HOME_SPREAD,HOME_SPREAD_ODDS,AWAY_SPREAD,AWAY_SPREAD_ODDS,BOOKMAKER
2025-12-23T00:13:14Z,Cleveland Cavaliers,Charlotte Hornets,-390,280,-9.5,-108,9.5,-122,FanDuel
2025-12-23T00:30:00Z,Boston Celtics,Indiana Pacers,-590,440,-11.5,-114,11.5,-106,FanDuel
2025-12-23T01:12:00Z,New Orleans Pelicans,Dallas Mavericks,-104,-112,1.0,-114,-1.0,-106,FanDuel
2025-12-23T02:00:00Z,Denver Nuggets,Utah Jazz,-820,570,-13.0,-108,13.0,-112,FanDuel
2025-12-23T02:30:00Z,Oklahoma City Thunder,Memphis Grizzlies,-1200,750,-15.5,-110,15.5,-110,FanDuel
2025-12-23T03:00:00Z,Portland Trail Blazers,Detroit Pistons,200,-245,6.5,-115,-6.5,-105,DraftKings
2025-12-23T03:00:00Z,Golden State Warriors,Orlando Magic,-220,184,-6.0,-108,6.0,-112,FanDuel
2025-12-24T00:10:00Z,Philadelphia 76ers,Brooklyn Nets,-430,340,-10.5,-114,10.5,-106,FanDuel
2025-12-24T00:40:00Z,Atlanta Hawks,Chicago Bulls,-166,140,-4.0,-110,4.0,-110,FanDuel
2025-12-24T00:40:00Z,Miami Heat,Toronto Raptors,-174,146,-4.0,-110,4.0,-110,FanDuel
2025-12-24T01:10:00Z,Minnesota Timberwolves,New York Knicks,-250,205,-7.0,-110,7.0,-110,FanDuel
2025-12-24T01:40:00Z,San Antonio Spurs,Oklahoma City Thunder,240,-295,6.5,-106,-6.5,-114,FanDuel
2025-12-24T04:10:00Z,Los Angeles Clippers,Houston Rockets,245,-300,7.0,-110,-7.0,-110,FanDuel
2025-12-25T17:00:00Z,New York Knicks,Cleveland Cavaliers,-205,170,-5.5,-108,5.5,-112,DraftKings
2025-12-25T19:30:00Z,Oklahoma City Thunder,San Antonio Spurs,-485,370,-10.5,-110,10.5,-110,DraftKings
2025-12-25T22:00:00Z,Golden State Warriors,Dallas Mavericks,-298,240,-7.5,-108,7.5,-112,DraftKings
2025-12-26T01:00:00Z,Los Angeles Lakers,Houston Rockets,154,-185,4.5,-115,-4.5,-105,DraftKings
2025-12-26T03:30:00Z,Denver Nuggets,Minnesota Timberwolves,-185,154,-4.5,-112,4.5,-108,DraftKings
