GAME_DATE,HOME_TEAM,AWAY_TEAM,HOME_ML,AWAY_ML,HOME_SPREAD,HOME_SPREAD_ODDS,AWAY_SPREAD,AWAY_SPREAD_ODDS,BOOKMAKER
2025-12-12T01:10:00Z,Milwaukee Bucks,Boston Celtics,315,-400,9.0,-110,-9.0,-110,FanDuel
2025-12-12T01:10:00Z,Houston Rockets,Los Angeles Clippers,-390,310,-9.5,-106,9.5,-114,FanDuel
2025-12-12T01:10:00Z,New Orleans Pelicans,Portland Trail Blazers,156,-186,4.5,-112,-4.5,-108,FanDuel
2025-12-12T03:10:00Z,Sacramento Kings,Denver Nuggets,330,-420,10.0,-112,-10.0,-108,FanDuel
2025-12-13T00:10:00Z,Detroit Pistons,Atlanta Hawks,-235,194,-6.5,-110,6.5,-110,FanDuel
2025-12-13T00:10:00Z,Charlotte Hornets,Chicago Bulls,-120,102,-1.0,-112,1.0,-108,FanDuel
2025-12-13T00:10:00Z,Washington Wizards,Cleveland Cavaliers,540,-770,14.5,-114,-14.5,-106,FanDuel
2025-12-13T00:10:00Z,Philadelphia 76ers,Indiana Pacers,-230,190,-6.0,-110,6.0,-110,FanDuel
2025-12-13T01:10:00Z,Memphis Grizzlies,Utah Jazz,-255,210,-6.5,-114,6.5,-106,FanDuel
2025-12-13T01:40:00Z,Dallas Mavericks,Brooklyn Nets,-260,215,-7.5,-112,7.5,-108,FanDuel
2025-12-13T03:10:00Z,Golden State Warriors,Minnesota Timberwolves,-125,105,-1.5,-112,1.5,-108,DraftKings
2025-12-13T22:30:00Z,Orlando Magic,New York Knicks,152,-180,4.0,-108,-4.0,-112,FanDuel
2025-12-14T02:00:00Z,Oklahoma City Thunder,San Antonio Spurs,-450,350,-10.0,-110,10.0,-110,FanDuel
