PLAYER_NAME,TEAM_ABBREVIATION,GAME_SCORE_AVG,MIN_AVG
LeBron James,LAL,14.66,32.5
Carmelo Anthony,LAL,6.9799999999999995,22.8
Udonis Haslem,MIA,1.06,9.5
Dwight Howard,LAL,10.69,22.0
Andre Iguodala,GSW,3.03,15.1
Trevor Ariza,LAL,3.9199999999999995,20.4
Chris Paul,LAC,2.53,14.5
Lou Williams,ATL,3.2700000000000005,13.1
LaMarcus Aldridge,BKN,8.879999999999999,20.6
Rudy Gay,UTA,4.87,15.0
Rajon Rondo,CLE,6.9799999999999995,18.2
Kyle Lowry,PHI,2.57,11.8
P.J. Tucker,NYK,2.26,15.8
Paul Millsap,PHI,3.439999999999999,12.4
Kevin Durant,HOU,17.720000000000002,36.3
Al Horford,GSW,5.449999999999999,21.0
Mike Conley,MIN,3.55,17.6
Jeff Green,HOU,1.44,4.7
Thaddeus Young,PHX,3.0,9.1
Derrick Rose,MEM,4.85,12.5
Russell Westbrook,SAC,13.059999999999999,29.8
Kevin Love,UTA,6.9799999999999995,15.8
Danilo Gallinari,MIL,2.4299999999999997,8.2
Eric Gordon,PHI,4.470000000000001,15.3
D.J. Augustin,LAL,3.0599999999999996,18.4
Brook Lopez,LAC,2.44,12.6
Robin Lopez,MIL,1.1500000000000001,4.5
JaVale McGee,SAC,1.35,4.4
Serge Ibaka,MIL,3.71,13.6
Nicolas Batum,LAC,4.01,23.3
George Hill,IND,5.68,15.6
DeAndre Jordan,NOP,5.13,11.6
Goran Dragic,MIL,2.69,11.0
Blake Griffin,BOS,4.46,12.9
James Harden,LAC,16.9,34.9
Ricky Rubio,CLE,3.65,17.5
Stephen Curry,GSW,22.419999999999998,31.5
DeMar DeRozan,SAC,14.15,33.0
James Johnson,IND,0.009999999999999964,3.1
Jrue Holiday,POR,16.15,33.9
Darren Collison,LAL,0.16666666666666674,12.333333333333334
Taj Gibson,CHA,2.4,10.2
Wayne Ellington,LAL,6.24,16.9
Patrick Beverley,MIL,8.26,22.7
Danny Green,PHI,3.6199999999999997,11.4
Patty Mills,LAC,2.61,5.2
Garrett Temple,TOR,2.43,7.2
Wesley Matthews,ATL,3.4,12.8
John Wall,LAC,5.89,21.8
Derrick Favors,OKC,5.68,18.4
DeMarcus Cousins,DEN,5.85,12.3
Greg Monroe,MIN,4.749999999999999,11.7
Gordon Hayward,OKC,5.8,17.3
Paul George,PHI,13.5,26.1
Ed Davis,CLE,0.9299999999999999,4.7
Eric Bledsoe,LAC,7.869999999999999,20.5
Avery Bradley,LAL,4.05,19.0
Hassan Whiteside,UTA,8.7,15.2
