team,player_name,position,date,status
Atlanta Hawks,Trae Young,G,Dec 31,Day-To-Day
Atlanta Hawks,N'Faly Dante,C,Oct 1,Out
Atlanta Hawks,Eli John Ndiaye,C,Jul 2,Out
Boston Celtics,Chris Boucher,F,Jan 1,Out
Boston Celtics,Amari Williams,F,Dec 31,Day-To-Day
Boston Celtics,Jayson Tatum,F,Apr 1,Out
Brooklyn Nets,Haywood Highsmith,F,Jan 4,Out
Charlotte Hornets,Pat Connaughton,G,Dec 31,Day-To-Day
Charlotte Hornets,Ryan Kalkbrenner,C,Jan 2,Out
Charlotte Hornets,Mason Plumlee,C,Jan 2,Out
Charlotte Hornets,Miles Bridges,F,Dec 31,Day-To-Day
Charlotte Hornets,Kon Knueppel,G,Dec 31,Day-To-Day
Charlotte Hornets,Grant Williams,F,Jan 5,Out
Chicago Bulls,Josh Giddey,G,Jan 22,Out
Chicago Bulls,Lachlan Olbrich,C,Jan 2,Out
Chicago Bulls,Trentyn Flowers,F,Jan 2,Out
Chicago Bulls,Emanuel Miller,F,Jan 2,Out
Chicago Bulls,Coby White,G,Jan 2,Out
Chicago Bulls,Zach Collins,F,Jan 5,Out
Chicago Bulls,Noa Essengue,F,Oct 1,Out
Cleveland Cavaliers,Larry Nance Jr.,F,Jan 10,Out
Cleveland Cavaliers,Max Strus,G,Jan 10,Out
Cleveland Cavaliers,Sam Merrill,G,Dec 31,Day-To-Day
Dallas Mavericks,Anthony Davis,F,Jan 1,Out
Dallas Mavericks,Dereck Lively II,C,Oct 1,Out
Dallas Mavericks,Kyrie Irving,G,Feb 12,Out
Dallas Mavericks,Dante Exum,G,Oct 1,Out
Denver Nuggets,Julian Strawther,G,Dec 31,Day-To-Day
Denver Nuggets,Nikola Jokic,C,Feb 1,Out
Denver Nuggets,Aaron Gordon,F,Jan 5,Out
Denver Nuggets,Christian Braun,G,Jan 5,Out
Denver Nuggets,Cameron Johnson,F,Jan 22,Out
Denver Nuggets,Tamar Bates,G,Apr 1,Out
Detroit Pistons,Caris LeVert,G,Jan 1,Out
Detroit Pistons,Wendell Moore Jr.,F,Dec 30,Day-To-Day
Golden State Warriors,L.J. Cryer,G,Dec 31,Day-To-Day
Golden State Warriors,Seth Curry,SG,Jan 13,Out
Houston Rockets,Alperen Sengun,C,Jan 1,Day-To-Day
Houston Rockets,Steven Adams,C,Jan 1,Day-To-Day
Houston Rockets,Fred VanVleet,G,Jun 1,Out
Indiana Pacers,Isaiah Jackson,F,Jan 2,Out
Indiana Pacers,T.J. McConnell,G,Dec 31,Day-To-Day
Indiana Pacers,Ben Sheppard,G,Dec 31,Out
Indiana Pacers,Obi Toppin,F,Feb 2,Out
