Date,Team,Result,Odds,My_Prob,Vegas_Prob,Edge,Bet_Pct,Bet_Amt,Profit,Bankroll
2021-11-04,MIA,LOSS,-265.0,75.4%,72.6%,2.8%,1.6%,$15.30,-15.29643247504174,984.7035675249583
2021-11-04,UTA,WIN,-120.0,65.0%,54.5%,10.4%,2.9%,$29.54,24.61758918812396,1009.3211567130822
2021-11-05,LAC,WIN,-140.0,68.1%,58.3%,9.8%,2.9%,$30.28,21.628310500994623,1030.9494672140768
2021-11-05,GSW,WIN,-480.0,85.0%,82.8%,2.2%,1.9%,$19.96,4.158202978381186,1035.107670192458
2021-11-05,NYK,WIN,145.0,44.1%,40.8%,3.3%,0.8%,$8.54,12.383286074703106,1047.4909562671612
2021-11-05,POR,WIN,-210.0,73.8%,67.7%,6.1%,2.8%,$29.54,14.065096928444012,1061.5560531956053
2021-11-05,SAS,WIN,-170.0,68.8%,63.0%,5.9%,2.3%,$25.22,14.835804396040823,1076.3918575916462
2021-11-06,POR,WIN,-205.0,71.0%,67.2%,3.7%,1.7%,$18.44,8.993284312627692,1085.385141904274
2021-11-06,PHX,WIN,-165.0,72.4%,62.3%,10.1%,2.9%,$32.56,19.73427530735043,1105.1194172116243
2021-11-06,DAL,WIN,-160.0,65.0%,61.5%,3.4%,1.3%,$14.74,9.211393033719217,1114.3308102453434
2021-11-06,PHI,WIN,150.0,47.5%,40.0%,7.5%,1.8%,$20.90,31.357310358576157,1145.6881206039195
2021-11-07,SAS,LOSS,-165.0,65.4%,62.3%,3.1%,1.2%,$14.09,-14.090810179054747,1131.5973104248649
2021-11-07,LAC,WIN,-250.0,79.7%,71.4%,8.2%,3.0%,$33.95,13.579167725098376,1145.1764781499633
2021-11-07,ORL,WIN,500.0,22.0%,16.7%,5.4%,0.9%,$11.04,55.208646939268775,1200.3851250892321
2021-11-07,CLE,WIN,260.0,30.3%,27.8%,2.5%,0.5%,$6.27,16.303690664623094,1216.6888157538551
2021-11-07,TOR,LOSS,135.0,48.1%,42.6%,5.6%,1.5%,$17.70,-17.697011455979485,1198.9918042978757
2021-11-08,DEN,WIN,105.0,63.2%,48.8%,14.4%,2.9%,$35.97,37.76824183538307,1236.7600461332588
2021-11-08,MEM,WIN,-185.0,79.7%,64.9%,14.8%,3.0%,$37.10,20.055568315674467,1256.8156144489333
2021-11-08,CHI,WIN,-120.0,56.6%,54.5%,2.1%,0.7%,$8.65,7.204612999715454,1264.0202274486487
2021-11-08,NOP,LOSS,330.0,26.1%,23.3%,2.9%,0.6%,$7.08,-7.080088903314462,1256.9401385453343
2021-11-09,LAC,WIN,-145.0,64.8%,59.2%,5.6%,2.0%,$25.85,17.82980850860655,1274.7699470539408
2021-11-10,LAL,WIN,190.0,44.5%,34.5%,10.1%,1.0%,$12.75,24.220628994024874,1298.9905760479655
2021-11-10,GSW,WIN,-320.0,84.1%,76.2%,7.9%,3.0%,$38.97,12.178036650449677,1311.1686126984152
2021-11-10,PHX,WIN,-210.0,70.3%,67.7%,2.6%,1.2%,$15.83,7.538492898557078,1318.7071055969723
2021-11-10,SAC,LOSS,-105.0,56.8%,51.2%,5.6%,1.7%,$22.67,-22.668048261251087,1296.0390573357213
2021-11-10,OKC,WIN,160.0,45.7%,38.5%,7.2%,1.7%,$22.86,36.57589825460288,1332.6149555903241
