Date,Team,Matchup,Result,Start Elo,Win Prob,Elo Change,New Elo
2026-01-04,WAS,WAS vs. MIN,L,1384.7,24.5%,-4.9,1379.8
2026-01-04,DET,DET @ CLE,W,1627.9,59.1%,+8.18,1636.0
2026-01-04,NOP,NOP @ MIA,L,1298.3,20.3%,-4.06,1294.2
2026-01-04,MIL,MIL @ SAC,W,1408.6,64.2%,+7.17,1415.8
2026-01-04,MIA,MIA vs. NOP,W,1542.8,80.9%,+3.81,1546.6
2026-01-04,MEM,MEM @ LAL,L,1473.4,47.5%,-9.49,1463.9
2026-01-04,LAL,LAL vs. MEM,W,1500.1,55.1%,+8.97,1509.1
2026-01-04,OKC,OKC @ PHX,L,1808.6,77.0%,-15.4,1793.2
2026-01-04,IND,IND @ ORL,L,1206.7,16.1%,-3.22,1203.5
2026-01-04,MIN,MIN @ WAS,W,1568.3,72.9%,+5.42,1573.7
2026-01-04,ORL,ORL vs. IND,W,1496.8,84.4%,+3.12,1499.9
2026-01-04,DEN,DEN @ BKN,L,1560.0,68.6%,-13.73,1546.2
2026-01-04,PHX,PHX vs. OKC,W,1611.5,25.7%,+14.85,1626.4
2026-01-04,CLE,CLE vs. DET,L,1557.8,39.2%,-7.84,1550.0
2026-01-04,BKN,BKN vs. DEN,W,1402.6,26.3%,+14.73,1417.3
2026-01-04,SAC,SAC vs. MIL,L,1295.3,32.7%,-6.54,1288.8
2026-01-03,GSW,GSW vs. UTA,W,1565.5,66.4%,+6.72,1572.2
2026-01-03,DAL,DAL vs. HOU,W,1410.5,21.3%,+15.74,1426.2
2026-01-03,HOU,HOU @ DAL,L,1658.0,82.4%,-16.47,1641.5
2026-01-03,UTA,UTA @ GSW,L,1455.2,35.7%,-7.14,1448.0
2026-01-03,LAC,LAC vs. BOS,L,1613.1,48.6%,-9.72,1603.4
2026-01-03,TOR,TOR vs. ATL,W,1471.1,51.7%,+9.65,1480.8
2026-01-03,MIA,MIA vs. MIN,L,1566.1,54.0%,-10.8,1555.3
2026-01-03,ATL,ATL @ TOR,L,1479.3,54.1%,-10.82,1468.5
2026-01-03,CHI,CHI vs. CHA,L,1408.2,48.7%,-9.74,1398.4
2026-01-03,CHA,CHA @ CHI,W,1400.5,46.5%,+10.7,1411.2
2026-01-03,MIN,MIN @ MIA,W,1555.6,51.0%,+9.8,1565.4
2026-01-03,BOS,BOS @ LAC,W,1656.2,60.8%,+7.84,1664.0
2026-01-03,PHI,PHI @ NYK,W,1493.9,37.2%,+12.56,1506.5
2026-01-03,SAS,SAS vs. POR,L,1637.8,72.7%,-14.54,1623.3
