Date,Player,Team,Matchup,PTS,Game_Score,Prev_Form,New_Form,Change
2025-11-18,LeBron James,LAL,LAL vs. UTA,11,16.2,16.2,16.2,-0.0
2025-11-23,LeBron James,LAL,LAL @ UTA,17,12.8,16.2,15.6,-0.62
2025-11-25,LeBron James,LAL,LAL vs. LAC,25,21.6,15.6,16.7,1.09
2025-11-28,LeBron James,LAL,LAL vs. DAL,13,10.1,16.7,15.5,-1.2
2025-12-01,LeBron James,LAL,LAL vs. PHX,10,2.1,15.5,13.0,-2.43
2025-12-04,LeBron James,LAL,LAL @ TOR,8,7.2,13.0,12.0,-1.06
2025-12-07,LeBron James,LAL,LAL @ PHI,29,27.5,12.0,14.8,2.82
2025-12-10,LeBron James,LAL,LAL vs. SAS,19,20.4,14.8,15.8,1.02
2025-12-14,LeBron James,LAL,LAL @ PHX,26,13.6,15.8,15.4,-0.4
2025-12-18,LeBron James,LAL,LAL @ UTA,28,27.0,15.4,17.5,2.11
2025-12-20,LeBron James,LAL,LAL @ LAC,36,24.6,17.5,18.8,1.29
2025-12-23,LeBron James,LAL,LAL @ PHX,23,18.8,18.8,18.8,-0.0
2025-12-25,LeBron James,LAL,LAL vs. HOU,18,13.9,18.8,17.9,-0.89
2025-12-28,LeBron James,LAL,LAL vs. SAC,24,24.1,17.9,19.0,1.12
2025-12-30,LeBron James,LAL,LAL vs. DET,17,6.6,19.0,16.8,-2.26
2026-01-02,LeBron James,LAL,LAL vs. MEM,31,24.9,16.8,18.3,1.48
2026-01-04,LeBron James,LAL,LAL vs. MEM,26,26.9,18.3,19.8,1.57
2025-10-22,Chris Paul,LAC,LAC @ UTA,4,3.6,3.6,3.6,0.0
2025-10-24,Chris Paul,LAC,LAC vs. PHX,0,6.4,3.6,4.1,0.51
2025-10-26,Chris Paul,LAC,LAC vs. POR,6,4.1,4.1,4.1,-0.0
2025-10-28,Chris Paul,LAC,LAC @ GSW,0,2.3,4.1,3.8,-0.33
2025-10-31,Chris Paul,LAC,LAC vs. NOP,3,4.1,3.8,3.8,0.06
2025-11-03,Chris Paul,LAC,LAC vs. MIA,3,2.5,3.8,3.6,-0.24
2025-11-04,Chris Paul,LAC,LAC vs. OKC,0,-0.1,3.6,2.9,-0.67
2025-11-06,Chris Paul,LAC,LAC @ PHX,2,3.3,2.9,3.0,0.07
2025-11-17,Chris Paul,LAC,LAC @ PHI,3,1.8,3.0,2.8,-0.22
2025-11-20,Chris Paul,LAC,LAC @ ORL,4,1.0,2.8,2.5,-0.32
2025-11-22,Chris Paul,LAC,LAC @ CHA,3,5.3,2.5,3.0,0.52
2025-11-23,Chris Paul,LAC,LAC @ CLE,2,3.1,3.0,3.0,0.02
2025-11-25,Chris Paul,LAC,LAC @ LAL,4,3.3,3.0,3.0,0.06
2025-11-28,Chris Paul,LAC,LAC vs. MEM,5,1.8,3.0,2.8,-0.23
2025-11-29,Chris Paul,LAC,LAC vs. DAL,0,0.8,2.8,2.5,-0.37
2025-12-01,Chris Paul,LAC,LAC @ MIA,8,5.0,2.5,2.9,0.46
2025-11-02,Kyle Lowry,PHI,PHI @ BKN,3,4.4,4.4,4.4,0.0
2025-11-28,Kyle Lowry,PHI,PHI @ BKN,0,1.4,4.4,3.9,-0.55
2025-12-05,Kyle Lowry,PHI,PHI @ MIL,3,1.9,3.9,3.5,-0.36
2025-12-14,Kyle Lowry,PHI,PHI @ ATL,0,-1.5,3.5,2.6,-0.91
2025-12-23,Kyle Lowry,PHI,PHI vs. BKN,0,0.7,2.6,2.2,-0.34
2025-10-21,Kevin Durant,HOU,HOU @ OKC,23,13.4,13.4,13.4,0.0
2025-10-24,Kevin Durant,HOU,HOU vs. DET,37,31.7,13.4,16.7,3.33
2025-10-27,Kevin Durant,HOU,HOU vs. BKN,19,11.9,16.7,15.8,-0.88
2025-10-29,Kevin Durant,HOU,HOU @ TOR,31,22.4,15.8,17.0,1.19
2025-11-01,Kevin Durant,HOU,HOU @ BOS,26,22.9,17.0,18.1,1.07
2025-11-03,Kevin Durant,HOU,HOU vs. DAL,21,14.4,18.1,17.4,-0.67
2025-11-05,Kevin Durant,HOU,HOU @ MEM,11,4.8,17.4,15.1,-2.3
2025-11-07,Kevin Durant,HOU,HOU @ SAS,24,7.3,15.1,13.7,-1.42
2025-11-09,Kevin Durant,HOU,HOU @ MIL,31,26.1,13.7,16.0,2.25
2025-11-12,Kevin Durant,HOU,HOU vs. WAS,23,19.1,16.0,16.5,0.57
