PLAYER_ID,PLAYER_NAME,TEAM,GAMES_PLAYED,CURRENT_FORM (EWMA),SEASON_AVG,LAST_GAME
203999,Nikola Jokić,DEN,32,31.4,31.0,2025-12-29
202695,Kawhi Leonard,LAC,24,27.4,22.9,2026-01-03
1630178,Tyrese Maxey,PHI,31,25.2,24.4,2026-01-03
1627759,Jaylen Brown,BOS,32,24.6,21.0,2026-01-03
1629029,Luka Dončić,LAL,26,24.4,26.5,2026-01-04
1630162,Anthony Edwards,MIN,29,24.2,21.8,2026-01-04
1628983,Shai Gilgeous-Alexander,OKC,35,24.0,27.2,2026-01-04
203507,Giannis Antetokounmpo,MIL,22,23.8,25.5,2026-01-04
1630552,Jalen Johnson,ATL,33,23.2,22.3,2026-01-03
1630595,Cade Cunningham,DET,32,22.6,21.7,2026-01-04
201142,Kevin Durant,HOU,30,21.7,19.2,2026-01-03
1630166,Deni Avdija,POR,36,21.7,20.0,2026-01-03
1628374,Lauri Markkanen,UTA,29,21.5,21.1,2026-01-03
1641705,Victor Wembanyama,SAS,21,21.3,21.1,2025-12-31
1628378,Donovan Mitchell,CLE,34,21.3,22.0,2026-01-04
1627750,Jamal Murray,DEN,34,21.3,20.5,2026-01-04
1629008,Michael Porter Jr.,BKN,27,21.0,19.2,2026-01-04
1628973,Jalen Brunson,NYK,32,21.0,21.1,2026-01-03
1641718,Keyonte George,UTA,33,20.9,18.4,2026-01-03
201939,Stephen Curry,GSW,26,20.5,20.4,2026-01-03
1629627,Zion Williamson,NOP,21,19.9,18.3,2026-01-04
2544,LeBron James,LAL,17,19.8,17.5,2026-01-04
1626181,Norman Powell,MIA,31,19.7,17.6,2026-01-04
1626164,Devin Booker,PHX,32,19.3,18.6,2026-01-04
1641708,Amen Thompson,HOU,32,19.2,16.2,2026-01-03
1627783,Pascal Siakam,IND,35,19.1,17.6,2026-01-04
1631117,Walker Kessler,UTA,5,19.1,15.7,2025-10-31
