Game,Model_Prob,Implied_Prob,Edge,Rec,Odds
MIL vs BOS,31.4%,24.1%,7.3%,BET HOME,315
HOU vs LAC,82.8%,79.6%,3.2%,BET HOME,-390
NOP vs POR,30.6%,39.1%,-8.5%,NO BET,156
SAC vs DEN,34.4%,23.3%,11.1%,BET HOME,330
DET vs ATL,82.8%,70.1%,12.6%,BET HOME,-235
CHA vs CHI,56.8%,54.5%,2.3%,BET HOME,-120
WAS vs CLE,25.1%,15.6%,9.4%,BET HOME,540
PHI vs IND,61.8%,69.7%,-7.9%,NO BET,-230
MEM vs UTA,64.2%,71.8%,-7.6%,NO BET,-255
DAL vs BKN,70.4%,72.2%,-1.8%,NO BET,-260
GSW vs MIN,54.0%,55.6%,-1.6%,NO BET,-125
ORL vs NYK,64.8%,39.7%,25.1%,BET HOME,152
OKC vs SAS,70.5%,81.8%,-11.4%,NO BET,-450
